,File Name,Mean,Median,Var,Std,Min,Max,Decomposing Number,Molecular Num in Environment
0,TxRx30_ARQ1-1_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,203024.944,144526.5,36606818883.65686,191329.08530502324,177,1421264,0,3000
1,TxRx30_ARQ1-1_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,91954.714,90256.0,1659841231.0282042,40741.14911276073,1848,241659,0,12206
2,TxRx30_ARQ10-10_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,14043.108,6080.5,342538433.04433596,18507.793845954086,107,156314,0,30000
3,TxRx30_ARQ10-10_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,16849.398,15803.0,120799495.41159602,10990.882376387986,473,56920,0,34900
4,TxRx30_ARQ20-20_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,5864.275,1862.5,73754563.117375,8588.04768951448,82,82582,0,60000
5,TxRx30_ARQ20-20_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,7681.6,5591.5,41429220.692,6436.553479308628,542,38550,0,60800
6,TxRx30_ARQ30-30_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,3236.083,1198.5,23517441.484111004,4849.478475476616,108,37538,0,90000
7,TxRx30_ARQ30-30_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,4632.064,2808.5,20763081.791904,4556.652476534062,408,29666,0,90180
8,TxRx30_ARQ50-50_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,1451.46,696.0,5040410.8364,2245.08593073851,65,21113,0,150000
9,TxRx30_ARQ50-50_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,2399.672,1550.0,5499235.396416,2345.044860213979,332,17292,0,150000
10,TxRx30_ARQ100-100_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,667.963,492.0,375415.04363100004,612.7112236861669,80,7276,0,300000
11,TxRx30_ARQ100-100_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,1079.072,959.5,396782.98681599996,629.9071255478858,332,13189,0,300000
12,TxRx50_ARQ1-1_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,861082.658,611731.0,722946560554.2611,850262.6421019926,676,6317269,0,3000
13,TxRx50_ARQ1-1_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,476019.176,465408.5,44094733987.18902,209987.46149994055,33026,1238734,0,11350
14,TxRx50_ARQ10-10_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,79279.489,48722.0,7878451810.175879,88760.64336278709,325,621076,0,30000
15,TxRx50_ARQ10-10_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,95051.768,92331.5,3418491198.422176,58467.86466446484,2213,292669,0,34930
16,TxRx50_ARQ20-20_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,32073.593,14982.0,1661213859.505351,40757.99135758963,363,285476,0,60000
17,TxRx50_ARQ20-20_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,46695.74,38690.5,1332763412.3824,36507.032368879285,1217,179138,0,61220
18,TxRx50_ARQ30-30_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,19888.366,7295.0,792160441.4760438,28145.34493439446,411,225644,0,90000
19,TxRx50_ARQ30-30_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,28255.409,20038.5,647427603.285719,25444.59870553511,1260,121993,0,90120
20,TxRx50_ARQ50-50_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,9272.666,3464.0,218873060.41844404,14794.359074270302,380,144012,0,150000
21,TxRx50_ARQ50-50_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,14797.994,8711.5,247300031.81596398,15725.776032233322,1150,99841,0,150000
22,TxRx50_ARQ100-100_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,3566.412,1987.5,28023869.544255998,5293.757601577163,333,63473,0,300000
23,TxRx50_ARQ100-100_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,5897.259,4088.0,34168761.889919005,5845.405194673763,983,52620,0,300000
24,TxRx70_ARQ1-1_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,2414276.686,1659265.5,6453551917584.67,2540384.2066869866,2012,24999999,0,3000
25,TxRx70_ARQ1-1_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,1489131.891,1427581.0,432311382034.34515,657503.9026761325,78616,4038901,0,10224
26,TxRx70_ARQ10-10_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,216204.96,138574.0,58243515842.8144,241336.9342699422,929,1733031,0,30000
27,TxRx70_ARQ10-10_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,308141.005,293863.0,33035267918.500977,181756.0670748049,4999,991166,0,33600
28,TxRx70_ARQ20-20_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,107656.935,66844.0,15388255628.676773,124049.40801421333,844,838312,0,60000
29,TxRx70_ARQ20-20_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,156545.481,132535.0,14421237106.089638,120088.45534059317,2271,714929,0,60820
30,TxRx70_ARQ30-30_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,60566.15,24514.5,6731314672.411501,82044.58953771114,959,808148,0,90000
31,TxRx70_ARQ30-30_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,100902.596,76401.0,7717529160.146783,87849.46875278634,2783,460281,0,90150
32,TxRx70_ARQ50-50_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,31027.109,11054.0,2162061654.837119,46497.97473909072,763,378097,0,150000
33,TxRx70_ARQ50-50_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,48879.703,28808.0,2658904261.258791,51564.56400725978,2785,312584,0,150050
34,TxRx70_ARQ100-100_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,11135.492,5072.5,275091666.54993606,16585.8875719672,705,137898,0,300000
35,TxRx70_ARQ100-100_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,18467.587,11391.0,492195498.24043095,22185.47944580939,1790,244218,0,300000
36,TxRx90_ARQ1-1_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,4998646.978,3725943.5,22177594194993.16,4709309.311883555,2222,24999999,0,3000
37,TxRx90_ARQ1-1_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,3154725.027,3004091.0,1845670749850.3843,1358554.6547159536,237872,8445275,0,11120
38,TxRx90_ARQ10-10_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,471744.387,294361.5,289015515971.45325,537601.633155493,1818,4255109,0,30000
39,TxRx90_ARQ10-10_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,641832.299,602887.0,130730470273.57762,361566.6885563127,8443,1835536,0,34200
40,TxRx90_ARQ20-20_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,233130.622,143311.0,70162688017.38312,264882.40412942326,1685,2000134,0,60000
41,TxRx90_ARQ20-20_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,346565.448,291385.0,60486797747.5253,245940.63866617347,5812,1240152,0,61040
42,TxRx90_ARQ30-30_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,138699.05,76190.0,31790167852.649498,178297.9748977803,1285,1814314,0,90000
43,TxRx90_ARQ30-30_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,221919.238,181417.5,31300156127.311356,176918.50137086102,5411,1006998,0,90210
44,TxRx90_ARQ50-50_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,71156.808,27238.0,9495125820.065136,97442.93622456753,1373,767705,0,150000
45,TxRx90_ARQ50-50_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,120617.985,86101.0,12587423652.574778,112193.68811379175,4134,687548,0,150000
46,TxRx90_ARQ100-100_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,26115.797,10299.5,1466159331.9657912,38290.46006469224,971,295662,0,300000
47,TxRx90_ARQ100-100_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,44896.835,24407.0,2466450713.481775,49663.37396393619,3570,355897,0,300000
